"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{010792BA-551A-3AC0-A7EF-0FAB4156C382}"
"Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{53CF6934-A98D-3D84-9146-FC4EDF3D5641}"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{D401961D-3A20-3AC7-943B-6139D5BD490A}"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664","12.0.40664","Microsoft Corporation","","MsiExec.exe /X{8122DAB1-ED4D-3676-BB0A-CA368196543E}"
"Microsoft Visual C++ 2022 X64 Additional Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","","MsiExec.exe /I{6FA797CF-6B76-4B6D-87EE-768F92008720}"
"Microsoft Visual C++ 2022 X64 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","MsiExec.exe /I{FE85AA49-3522-4663-9F52-9CD9E9837189}"
"Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","","MsiExec.exe /I{931A2CF0-2404-45EA-82F5-345735AE6A90}"
"Microsoft Visual C++ 2022 X86 Additional Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","","MsiExec.exe /I{582BA719-E6F1-4651-A873-049E6A0DDDAF}"
"Microsoft Visual C++ 2022 X86 Debug Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","","MsiExec.exe /I{BC104582-4691-4D4C-8922-C215D941A2EB}"
"Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.51.36247","14.51.36247","Microsoft Corporation","","MsiExec.exe /I{4BF7CE18-E151-449F-9190-6CDBED0BB4A2}"
"Microsoft Visual C++ v14 Redistributable (x64) - 14.51.36247","14.51.36247.0","Microsoft Corporation",,"""C:\ProgramData\Package Cache\{0e3bb569-69d6-4c34-bff9-c2f81db5e5f0}\VC_redist.x64.exe""  /uninstall"
