"Drive","Path","Name","Extension","SizeGB","SizeMB","LastWrite","Type"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9CB0B8.bin","160_B9CB0B8.bin",".bin","0,004","4,3","05/12/2025 11:52:05","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9D48D0.bin","160_B9D48D0.bin",".bin","0,004","4,3","05/12/2025 11:52:07","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9D6F08.bin","160_B9D6F08.bin",".bin","0,004","4,3","05/12/2025 11:52:12","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9D7388.bin","160_B9D7388.bin",".bin","0,004","4,3","05/12/2025 11:52:18","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9DB4F4.bin","160_B9DB4F4.bin",".bin","0,004","4,3","05/12/2025 11:52:15","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9DFA64.bin","160_B9DFA64.bin",".bin","0,004","4,3","05/12/2025 11:52:08","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FD524.bin","160_B9FD524.bin",".bin","0,004","4,3","05/12/2025 11:52:13","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FD6C0.bin","160_B9FD6C0.bin",".bin","0,004","4,3","05/12/2025 11:52:10","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FEB50.bin","160_B9FEB50.bin",".bin","0,004","4,3","05/12/2025 11:52:03","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlss\versions\65644\files\160_B9FF4BC.bin","160_B9FF4BC.bin",".bin","0,004","4,3","05/12/2025 11:52:04","Model/File"
"C","C:\ProgramData\Microsoft\Windows Defender\Support\MpWppTracing-20260813-150935-00000003-fffffffeffffffff.bin","MpWppTracing-20260813-150935-00000003-fffffffeffffffff.bin",".bin","0,004","3,7","14/08/2026 02:28:01","Model/File"
"C","C:\ProgramData\Microsoft\Windows Defender\Scans\History\CacheManager\4DFA38B3-8A46-47A1-BBD4-AAAE337F8EDE-0.bin","4DFA38B3-8A46-47A1-BBD4-AAAE337F8EDE-0.bin",".bin","0,004","4,3","23/06/2026 02:54:58","Model/File"
"C","C:\Users\enrik\AppData\Local\Microsoft\SSMS\22.0_59da8ebd\privateregistry.bin","privateregistry.bin",".bin","0,003","3,2","30/04/2026 13:02:42","Model/File"
"C","C:\ProgramData\Epic\EpicGamesLauncher\Data\Catalog\catcache.bin","catcache.bin",".bin","0,003","3,1","14/08/2026 13:12:27","Model/File"
"C","C:\Users\enrik\AppData\Roaming\librewolf\Profiles\v46y8z83.default-default\security_state\data.safe.bin","data.safe.bin",".bin","0,003","3,1","22/07/2026 13:29:52","Model/File"
"C","C:\Users\enrik\AppData\Roaming\zen\Profiles\45jchyg8.Default (release)\security_state\data.safe.bin","data.safe.bin",".bin","0,003","3,2","22/07/2026 16:58:03","Model/File"
"G","G:\AI\E-zzio\runtime\realtime\models\vad\silero_vad.onnx","silero_vad.onnx",".onnx","0,002","2,2","14/08/2026 11:48:51","Model/File"
"C","C:\Users\enrik\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\Lib\ensurepip\_bundled\pip-25.0.1-py3-none-any.whl","pip-25.0.1-py3-none-any.whl",".whl","0,002","1,8","01/01/2024 01:00:00","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\66154\files\160_B9D2F5C.bin","160_B9D2F5C.bin",".bin","0,002","2,5","05/12/2025 11:52:44","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\66154\files\160_B9D8C54.bin","160_B9D8C54.bin",".bin","0,002","2,5","05/12/2025 11:52:40","Model/File"
"C","C:\ProgramData\NVIDIA\NGX\models\dlisp\versions\66154\files\160_B9DAE68.bin","160_B9DAE68.bin",".bin","0,002","2,5","05/12/2025 11:52:45","Model/File"
"G","G:\AI\E-zzio\runtime\realtime\models\silero_vad.onnx","silero_vad.onnx",".onnx","0,002","2,2","13/08/2026 23:04:18","Model/File"
